system,rank,power,rmax,efficiency,year,month,list_rank
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",186,280.74,14528.3,51.75001781007337,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",187,280.74,14528.3,51.75001781007337,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",188,280.74,14528.3,51.75001781007337,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",189,280.74,14528.3,51.75001781007337,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",190,280.74,14528.3,51.75001781007337,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",191,280.74,14528.3,51.75001781007337,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",192,280.74,14528.3,51.75001781007337,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",196,269.45,14252.0,52.89293004267954,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",198,231.49,14212.5,61.39574063674456,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",199,231.49,14212.5,61.39574063674456,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",200,231.49,14212.5,61.39574063674456,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",201,231.49,14212.5,61.39574063674456,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 2.33 GHz, GigEthernet",202,231.49,14212.5,61.39574063674456,2008,6,31
"BladeCenter LS21, Opteron Dual Core 2.2 GHz, GigEthernet, Windows",203,416.45,14184.0,34.059310841637654,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",205,78.45,14078.3,179.4557042702358,2008,6,31
"Roadrunner 2 - xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",206,518.4,14070.0,27.141203703703706,2008,6,31
"Roadrunner 3 - xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",207,518.4,14070.0,27.141203703703706,2008,6,31
"Roadrunner 1 - xSeries x3755 Cluster Opteron dual core 2.2 GHz, Infiniband",208,518.4,14070.0,27.141203703703706,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",212,227.68,13893.6,61.02248770203795,2008,6,31
Intimidata - eServer Blue Gene Solution,217,67.2,13780.0,205.0595238095238,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",218,224.56,13729.0,61.137335233345205,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",224,223.67,13681.8,61.16958018509411,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",228,263.58,13640.0,51.748994612641326,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",229,263.58,13640.0,51.748994612641326,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",230,263.58,13640.0,51.748994612641326,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",231,263.58,13640.0,51.748994612641326,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",232,263.58,13640.0,51.748994612641326,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",233,263.58,13640.0,51.748994612641326,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",234,263.58,13640.0,51.748994612641326,2008,6,31
"SGI Altix ICE 8200, Xeon quad core 2.83 GHz",237,67.07,13480.0,200.9840465185627,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",247,73.63,13212.9,179.44995246502785,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",251,212.98,13113.0,61.56916142360785,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",252,72.66,13057.0,179.69997247453895,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",258,210.31,12967.3,61.65802862441158,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",259,210.31,12967.3,61.65802862441158,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core 3.0 GHz, Infiniband",263,129.69,12832.0,98.94363482149741,2008,6,31
"xSeries x3550 Cluster Xeon, 2.333 GHz, GigEthernet",272,232.04,12514.9,53.93423547664196,2008,6,31
"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",278,307.5,12312.0,40.0390243902439,2008,6,31
"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",279,307.5,12312.0,40.0390243902439,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",285,233.44,12080.6,51.750342700479784,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",286,233.44,12080.6,51.750342700479784,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",287,233.44,12080.6,51.750342700479784,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",291,192.48,11994.3,62.31452618453865,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",292,192.48,11994.3,62.31452618453865,2008,6,31
"xSeries x3550 Cluster Xeon, 2.333 GHz, GigEthernet",303,217.4,11725.3,53.93422263109475,2008,6,31
Blue Gene/P Solution,304,31.5,11710.0,371.74603174603175,2008,6,31
Schrödinger - Blue Gene/P Solution,305,31.5,11710.0,371.74603174603175,2008,6,31
Blue Gene/P Solution,306,31.5,11710.0,371.74603174603175,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",316,180.9,11349.3,62.737976782752895,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",317,180.9,11349.3,62.737976782752895,2008,6,31
"Monte Capanne - BladeCenter QS22 Cluster, PowerXCell 8i 3.2 Ghz, Infiniband",324,22.76,11110.0,488.13708260105443,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",329,174.66,10998.0,62.96805221573343,2008,6,31
"Star of Arkansas - PowerEdge 1950, 2.66 GHz, Infiniband",339,73.37,10750.0,146.51765026577618,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",355,196.3,10383.0,52.89353031074885,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",356,196.3,10383.0,52.89353031074885,2008,6,31
"PACS-CS - PACS-CS, low voltage Xeon 2.8 GHz,  3D Hyper-Crossbar",357,545.0,10350.0,18.990825688073393,2008,6,31
"xSeries x3650 Cluster Xeon dual core 2.33 GHz, GigEthernet",366,194.82,10146.0,52.07884200800739,2008,6,31
"xSeries x3550 Cluster Xeon, 3 GHz, GigEthernet",367,162.94,10112.9,62.065177365901555,2008,6,31
"xSeries x3550 Cluster Xeon, 1.6 GHz, GigEthernet",371,250.73,10084.7,40.221353647349744,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",377,192.25,9949.0,51.750325097529256,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core, 3 GHz, GigEthernet",378,192.25,9949.0,51.750325097529256,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core 2.66 GHz, GigEthernet",379,188.09,9948.75,52.89356159285448,2008,6,31
"xSeries x3550 Cluster Xeon, 3 GHz, GigEthernet",382,158.1,9914.07,62.70759013282733,2008,6,31
"BladeCenter LS21, Opteron Dual Core 2.8 GHz, GigEthernet",385,285.72,9850.0,34.47431051378972,2008,6,31
"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",386,246.0,9850.0,40.040650406504064,2008,6,31
"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",387,246.0,9850.0,40.040650406504064,2008,6,31
"BladeCenter LS20, Opteron 2.2 GHz Dual core, GigEthernet",388,246.0,9850.0,40.040650406504064,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",394,152.38,9719.7,63.78592991206196,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",395,54.02,9693.28,179.43872639763052,2008,6,31
"Casimir - Cluster Platform 3000 BL2x220, Xeon 54xx 3 Ghz, Infiniband",396,42.6,9669.0,226.9718309859155,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",402,45.01,9591.67,213.10086647411688,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",403,45.01,9591.67,213.10086647411688,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",404,45.01,9591.67,213.10086647411688,2008,6,31
"bwGRiD-MA - BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",405,45.01,9591.67,213.10086647411688,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, Infiniband",406,45.01,9591.67,213.10086647411688,2008,6,31
"NWICE - Spray Cooled xSeries x3550 Cluster Xeon quad core 2.33 GHz, Infiniband",407,89.09,9588.0,107.62150634190144,2008,6,31
"xSeries x3550 Cluster Xeon, 3 GHz, GigEthernet",408,149.92,9577.59,63.884671824973324,2008,6,31
eServer Blue Gene Solution,411,44.8,9433.0,210.55803571428572,2008,6,31
KEK/BG UME - eServer Blue Gene Solution,412,44.8,9433.0,210.55803571428572,2008,6,31
eServer Blue Gene Solution,413,44.8,9433.0,210.55803571428572,2008,6,31
eServer Blue Gene Solution,414,44.8,9433.0,210.55803571428572,2008,6,31
eServer Blue Gene Solution,415,44.8,9433.0,210.55803571428572,2008,6,31
Ocracoke - eServer Blue Gene Solution,416,44.8,9433.0,210.55803571428572,2008,6,31
Blue Fern - eServer Blue Gene Solution,417,44.8,9433.0,210.55803571428572,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",419,146.14,9355.3,64.0160120432462,2008,6,31
"Cluster Platform 3000 BL460c, Xeon 54xx 3.0GHz, GigEthernet",420,146.14,9355.3,64.0160120432462,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, GigEthernet",424,111.96,9287.0,82.94926759556985,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",425,107.39,9287.0,86.47918800633207,2008,6,31
"xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet",426,137.34,9287.0,67.62050385903596,2008,6,31
"xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet",427,137.34,9287.0,67.62050385903596,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",428,94.53,9287.0,98.24394372156988,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, GigEthernet",429,91.43,9287.0,101.5749753910095,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.66 GHz, GigEthernet",430,91.43,9287.0,101.5749753910095,2008,6,31
"xSeries x3550 Cluster Xeon QC HT, 2.66 GHz, GigEthernet",431,74.19,9287.0,125.17859549804557,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",432,74.64,9287.0,124.42390139335477,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",433,74.64,9287.0,124.42390139335477,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",434,74.64,9287.0,124.42390139335477,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",435,74.64,9287.0,124.42390139335477,2008,6,31
"xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet",436,118.78,9287.0,78.18656339451086,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, GigEthernet",437,67.52,9287.0,137.54443127962085,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",438,73.52,9287.0,126.31936887921654,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",439,73.52,9287.0,126.31936887921654,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",440,73.52,9287.0,126.31936887921654,2008,6,31
"xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet",441,117.39,9287.0,79.11236050770934,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.8 GHz, GigEthernet",442,64.3,9287.0,144.43234836702956,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",443,76.52,9287.0,121.36696288552014,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",444,76.2,9287.0,121.8766404199475,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, GigEthernet",445,62.7,9287.0,148.11802232854865,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.83 GHz, GigEthernet",446,62.7,9287.0,148.11802232854865,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.5 GHz, GigEthernet",447,67.08,9287.0,138.44663088849137,2008,6,31
"xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet",448,106.72,9287.0,87.02211394302849,2008,6,31
"xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet",449,106.72,9287.0,87.02211394302849,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",450,71.7,9287.0,129.5258019525802,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",451,71.7,9287.0,129.5258019525802,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",452,71.7,9287.0,129.5258019525802,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",453,71.7,9287.0,129.5258019525802,2008,6,31
"xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet",454,98.83,9287.0,93.96944247698067,2008,6,31
"xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet",455,98.83,9287.0,93.96944247698067,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",456,67.52,9287.0,137.54443127962085,2008,6,31
"xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet",457,96.51,9287.0,96.22837011708631,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",458,64.3,9287.0,144.43234836702956,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",459,62.7,9287.0,148.11802232854865,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, GigEthernet",460,62.7,9287.0,148.11802232854865,2008,6,31
"xSeries x3550 Cluster Xeon quad core, 2.333 GHz, GigEthernet",461,90.48,9287.0,102.64146772767462,2008,6,31
"Cell - BladeCenter QS22 Cluster, PowerXCell 8i 3.2 Ghz, Infiniband",464,18.97,9259.0,488.0864522930944,2008,6,31
"xSeries x3550 Cluster Xeon, 1.6 GHz, GigEthernet",465,230.17,9257.85,40.22179258808707,2008,6,31
"BladeCenter HS21 Cluster, Xeon quad core 2.33 GHz, Infiniband",467,51.44,9243.89,179.70237169517884,2008,6,31
"xSeries x3550 Cluster Xeon, 3 GHz, GigEthernet",472,140.62,9141.89,65.01130706869577,2008,6,31
"BladeCenter HS21 Cluster, Xeon dual core 3.0 GHz, Infiniband",474,91.55,9058.0,98.9404696886947,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.8 GHz, GigEthernet",476,60.12,9045.15,150.45159680638722,2008,6,31
